,test_loss_dino,test_loss_yolo,train_loss_dino,train_loss_yolo
89,2.747847229242325,3.3448759615421295,2.3251668034177837,3.428217822855169
90,2.6826657950878143,3.9673295319080353,2.1126683300191704,3.170875245874578
91,3.1885740160942078,3.8489650189876556,2.032694216930505,3.440234848947236
92,3.072053164243698,3.4923327267169952,2.172712409135067,3.534111723755345
93,2.7311673164367676,3.3158160150051117,2.1372989813486734,3.4818097027865322
94,2.3122588545084,3.4677525460720062,2.3554255384387393,3.4419158588756216
95,2.86157763004303,3.640653520822525,2.2475848559177285,3.4714207071246523
96,3.680578738451004,3.9391507506370544,2.4933185360648413,3.167731689684319
97,3.5957242846488953,3.741056054830551,2.432189464569092,3.379386699560917
98,2.723569333553314,3.978061228990555,2.1576344352779966,3.3212020035946006
99,3.20281183719635,3.5772663950920105,2.39659029787237,3.196902376232725
100,2.3497245758771896,4.025868445634842,2.252798824599295,3.040737383293383
101,3.2011909186840057,3.8883946537971497,2.1027116053032153,3.3122373999971333
102,3.090725392103195,3.401017904281616,2.077010324507049,3.497739163312045
103,2.259894773364067,3.71163809299469,2.378575072144017,3.2179759776953496
104,2.50562185049057,3.4629951417446136,2.3086206262761895,3.3782643404873935
105,3.276590585708618,3.582296848297119,2.064865823948022,3.5895185615077163
106,3.3862816989421844,3.7770539820194244,1.9834501634944568,3.250771139607285
107,3.0144700407981873,3.4905146658420563,2.1434394771402534,3.3259609323559385
108,2.8770862817764282,4.056218355894089,2.0615271510499897,3.196924216819532
109,3.051734358072281,3.36289244890213,2.157126105192936,3.5069492224491006
110,2.5022528916597366,4.033372640609741,2.3492600520451865,3.252536354642926
111,2.551953136920929,3.91567462682724,2.0230165575489854,3.124061194333163
112,2.3525399267673492,3.4033707976341248,2.2497226505568535,3.2282286123795942
113,2.4819085896015167,3.259608417749405,2.2831501093777744,3.39244987747886
114,2.256697192788124,3.541103571653366,2.3401206009315723,3.1581250393029414
115,2.7767763435840607,3.642132669687271,2.18506362582698,3.126615213625359
116,2.5216104388237,3.3009219765663147,2.3476462653188994,3.1494039044235693
117,2.6605666875839233,3.5008601248264313,2.253050764401754,3.3107217008417305
118,2.3563660383224487,3.788697898387909,2.2142631032250146,3.1696485606106846
119,2.3159001022577286,3.424897253513336,2.2024092854875508,3.310305198033651
120,2.7684608101844788,3.633682817220688,2.089432622447158,3.27938149914597
121,2.3760324716567993,3.9463970065116882,2.212125778198242,3.476889718662609
122,2.143684461712837,3.3152416944503784,2.428192275943178,3.421961054657445
123,2.1985647082328796,3.6437340676784515,2.3248757051699087,3.244239987749042
124,2.352934330701828,3.4539997279644012,2.183431560342962,3.200886177294182
125,2.8713778853416443,3.6750333309173584,2.2305587313391944,3.0428210677522602
126,2.4313888996839523,3.583292454481125,2.3044110789443506,3.2002188762029014
127,2.690436214208603,4.335967600345612,1.8879486394651008,3.2581405639648438
128,2.094638913869858,3.220220923423767,2.430206020673116,3.4649536898641875
129,3.0369037985801697,3.387635201215744,2.002365473544959,3.1864638220180166
130,2.318894177675247,3.8355100452899933,2.2673763000603877,2.9847900506221885
131,2.3976737707853317,3.3368852138519287,2.327960404482755,3.3022250912406226
132,2.6832358837127686,3.603206157684326,2.26376804077264,3.157165592366999
133,2.6805217564105988,3.324138581752777,2.1728411371057685,3.290803569735903
134,2.7014221847057343,3.117455869913101,2.2523716363039883,3.333478725317753
135,2.549227297306061,3.307108998298645,2.166276985948736,3.2802758578098183
136,2.10693296790123,3.3149050772190094,2.508299065358711,3.459810722957958
137,3.208155483007431,3.27187842130661,2.2459216912587485,3.4303921352733266
138,2.2349311858415604,3.228393644094467,2.2931884816198638,3.4480843327262183
139,2.6864221394062042,3.4582704305648804,2.1543345920967334,3.2176263404615
140,2.354604408144951,3.7085739076137543,2.259269006324537,3.295736970323505
141,3.256759911775589,3.8172411620616913,2.207089651714672,3.2563013741464326
142,2.202047646045685,3.4094614684581757,2.1098318497339883,3.345292987245502
143,2.1767044216394424,3.3431940376758575,2.3326202450376567,3.1264851165540293
144,2.27815842628479,3.3969081342220306,2.146096298188874,3.322484182588982
145,2.9355432391166687,3.6036830246448517,1.9050390575871323,3.1130623961939956
146,2.3114385157823563,3.31881383061409,2.3026584350701533,3.236495711586692
147,2.697983741760254,3.2980707585811615,2.0231331225597495,3.021832191582882
148,2.4889354705810547,4.0564537942409515,2.065241463256605,2.9934807401714902
