,test_loss_dino,test_loss_yolo,train_loss_dino,train_loss_yolo,test_loss_dino_box,train_loss_dino_box
32,2.968350386619568,3.1091111765967474,2.286628090010749,3.103408881690767,5.013783023092482,4.00448926422331
33,2.675086990992228,3.182657798131307,2.298194039530224,3.004026405678855,5.092196461889479,3.9777335796091293
34,2.3255606174468992,3.0997540314992267,2.3053758641084037,3.0379197047816384,5.221827223565843,3.9381356795628863
35,2.5893761263953317,2.582670545578003,2.303711764348878,2.9861761533551747,5.367783551745944,3.8933576862017314
36,2.3856958799892003,2.5132303966416254,2.2909453054269155,3.035466859075758,5.2289126528633965,3.885376371939977
37,2.491871388753255,2.96403435866038,2.183122848802143,3.0237223227818806,4.920076738463508,3.910030460357666
38,2.5789226214090983,2.823466596338484,2.179253786140018,3.002995671497451,5.564189174440172,3.851531152592765
39,2.772722193929884,2.5968255824512907,2.203203680117925,2.952819691432847,5.166712927818298,3.8668575260374283
40,2.633075745900472,2.5824814544783696,2.195766881770558,2.947629924615224,5.500509248839484,3.843531796667311
41,2.9011104318830703,2.8341679639286466,2.1625518235895367,2.9721084084775713,4.564947793218825,3.783977346287833
42,1.9921207613415188,2.8675089995066325,2.1791987266805437,2.900636097457674,4.710734701156616,3.789698906077279
43,2.0316881232791477,3.7691433986028033,2.183509690562884,2.9464511387877996,4.777226961983574,3.8645929601457385
44,2.8315460628933375,2.9601874430974324,2.188360156284438,2.9130348765187795,4.754153752326966,3.7834832787513735
45,2.489715650346544,2.691590772734748,2.1445805135700438,2.9257114238209194,5.254314711358812,3.777704864078098
46,2.2543583353360495,2.879435814751519,2.1917018721501034,2.8961538705560894,4.529413461685181,3.7443184316158296
47,2.278534882598453,2.831872034072876,2.1893929415278963,2.9243178778224523,5.3348570558759905,3.769714229636722
48,2.4392485115263196,2.537800441847907,2.081188781725036,2.852815694279141,4.954034410582649,3.6904314855734506
49,2.295987066957686,2.6957216792636447,2.1337847232818605,2.8471585790316265,4.893634552425809,3.7280705398983427
50,2.2813878549469844,2.4914505309528776,2.057296343313323,2.8306309282779694,4.921175681220161,3.7331303609742057
51,2.4739643653233845,2.775098298655616,2.0753111210134296,2.826937770843506,4.795674053827922,3.705108398861355
52,2.1843108534812927,2.592585453722212,2.1030357602569794,2.8480417559544247,5.101087035073174,3.631410618623098
53,2.441649254163106,2.942349762386746,2.1177436163028083,2.8166225562493006,4.986241263813443,3.6583560678693985
